dt	f	t	l	d
2014060900	052	056	7	1435
2014060900	056	058	2	314
2014060900	058	059	3	528
2014060900	059	059	19	1192
2014060900	059	058	5	530
2014060901	058	056	2	318
2014060901	056	052	5	1433
2014060901	052	009	533	5550
2014060909	026	026	1	165
2014060909	026	026	75	206
2014060910	026	026	94	4474
2014060911	026	026	1	132
2014060911	026	026	6	306
2014060911	026	026	2	173
2014060911	026	026	1	65
2014060911	026	026	9	85
2014060911	026	052	103	2142
2014060911	026	026	3	504
2014060912	026	026	4	859
2014060915	026	026	56	4198
2014060915	026	026	52	4329
2014060915	026	026	44	4006
2014060916	026	026	13	763
2014060917	094	094	1543	21841
2014060917	056	056	40	9340
2014060919	056	056	53	10791
2014060920	094	094	161	17116
2014060920	094	094	151	17410
2014060921	056	056	44	6232
2014060921	056	056	29	5893
2014060921	026	037	16	2227
2014061011	037	037	36	2734
2014061011	037	020	28	2050
2014061012	026	026	22	1856
2014061012	026	026	30	1059
2014061013	026	026	7	157
2014061017	026	056	35	6485
2014061018	010	003	25	2577
2014061018	033	052	15	3620
2014061018	056	052	44	4578
2014061018	037	022	6	1194
2014061018	003	003	21	3244
2014061019	003	056	21	3934
2014061019	052	001	15	2581
2014061019	001	003	12	794
2014061019	058	059	16	2987
2014061019	009	026	12	1092
2014061019	003	013	950	41630
2014061019	026	020	43	4184
2014061108	094	025	33	5060
2014061110	037	009	49	5456
2014061111	037	020	10	584
2014061111	020	020	3	100
2014061111	020	022	12	900
2014061111	020	003	49	11298
2014061111	003	026	314	2088
2014061111	003	026	37	2088
2014061111	052	052	115	18224
2014061112	022	025	4	892
2014061112	025	033	3	824
2014061112	033	026	14	2184
2014061112	026	013	108	4721
2014061112	022	094	36	7330
2014061113	033	052	28	4224
2014061113	033	052	21	4204
2014061113	001	001	9	1153
2014061113	001	010	29	3032
2014061113	037	037	19	275
2014061113	052	010	113	13765
2014061113	052	010	112	13738
2014061113	056	058	23	4094
2014061114	056	058	28	6605
2014061114	058	052	11	1768
2014061114	013	010	10	853
2014061114	010	009	4	483
2014061114	009	003	9	882
2014061115	010	026	6	873
2014061115	056	094	14	1790
2014061115	010	026	6	857
2014061115	052	059	21	3497
2014061115	052	056	15	1605
2014061116	059	052	13	2289
2014061116	056	058	3	316
2014061116	058	059	4	543
2014061116	059	037	1172	8946
2014061116	022	094	211	18478
2014061116	022	094	206	20781
2014061116	022	020	55	7230
2014061116	037	025	40	2695
2014061116	009	010	19	2107
2014061116	026	026	12	1047
2014061116	009	010	18	1466
2014061116	037	025	31	2695
2014061117	026	033	22	2750
2014061117	026	033	16	2456
2014061117	001	094	66	7528
2014061117	033	052	16	3618
2014061117	026	010	56	5787
2014061117	033	026	28	4663
2014061117	033	026	28	4531
2014061117	003	094	43	6571
2014061117	020	022	8	1882
2014061117	059	009	1449	28216
2014061117	026	056	31	5231
2014061117	059	009	1445	28102
2014061117	026	033	21	2638
2014061117	026	033	21	2740
2014061118	052	056	33	1486
2014061118	052	056	30	1466
2014061118	025	033	6	1067
2014061118	026	009	29	1419
2014061118	003	001	18	1072
2014061118	033	025	60	7428
2014061118	010	009	7	514
2014061118	094	056	12	1862
2014061118	009	009	156	18445
2014061119	009	009	154	18545
2014061119	009	010	39	3565
2014061119	010	037	133	10810
2014061119	010	037	132	10724
2014061119	010	010	11	1513
2014061119	003	003	3	77
2014061119	094	094	17	2231
2014061119	013	022	23	2860
2014061119	001	003	134	3832
2014061119	037	037	24	3371
2014061119	037	037	26	3328
2014061119	037	001	21	4988
2014061119	022	022	173	5105
2014061119	022	020	181	5887
2014061119	037	022	24	2223
2014061119	056	033	25	5055
2014061119	022	022	49	5484
2014061120	022	022	44	5374
2014061120	094	003	98	13565
2014061120	022	020	6	667
2014061120	010	009	27	3212
2014061120	010	009	28	2918
2014061120	010	001	8	1937
2014061120	094	094	15	1741
2014061120	094	094	14	159
2014061120	052	020	34	5801
2014061120	058	059	110	14424
2014061120	022	020	5	657
2014061120	056	058	13	3214
2014061120	033	094	144	12209
2014061120	094	052	44	2670
2014061120	003	003	46	3506
2014061120	033	094	143	12333
2014061120	058	056	18	4345
2014061121	022	022	22	2703
2014061121	094	033	43	6442
2014061121	094	033	42	6305
2014061121	094	001	20	2013
2014061121	037	052	32	6060
2014061121	052	058	13	2623
2014061121	058	058	35	4373
2014061121	003	003	15	1310
2014061121	059	094	25	4616
2014061121	037	037	45	3540
2014061121	058	058	47	7040
2014061122	037	037	36	3132
2014061122	009	013	22	2864
2014061122	094	094	22	4192
2014061122	058	058	138	18482
2014061122	022	020	11	673
2014061122	037	013	39	4259
2014061122	013	026	8	684
2014061122	020	022	27	4214
2014061122	020	022	27	4012
2014061122	022	022	8	365
2014061122	058	094	13	2056
2014061122	026	026	8	1263
2014061122	094	094	88	15521
2014061122	094	094	86	15578
2014061122	033	033	93	18837
2014061122	003	020	39	4182
2014061123	037	026	186	25014
2014061123	056	059	54	4998
2014061123	037	026	182	25333
2014061123	009	094	44	5805
2014061123	022	037	13	2858
2014061123	056	059	40	4982
2014061123	009	094	41	5782
2014061123	037	009	37	5053
2014061123	020	026	142	21481
2014061123	020	026	140	22674
2014061123	020	009	30	4543
2014061200	022	020	4	694
2014061200	025	033	50	4690
2014061201	033	025	28	3714
2014061201	009	009	100	13550
2014061207	009	020	24	3397
2014061208	020	022	20	3896
2014061208	009	009	22	1733
2014061209	059	059	108	18959
2014061209	022	013	44	4725
2014061209	094	094	52	5852
2014061210	009	013	95	3930
2014061210	094	059	14	3767
2014061210	056	056	27	404
2014061210	056	056	68	990
2014061210	022	009	434	20332
2014061210	059	094	15	2591
2014061211	058	058	120	12256
2014061211	094	094	194	13550
2014061211	056	052	24	1776
2014061211	094	033	66	6661
2014061211	052	058	82	10301
2014061211	094	033	56	6607
2014061211	009	052	28	3377
2014061211	058	059	39	3308
2014061211	009	052	27	3436
2014061211	094	094	105	15417
2014061212	059	056	48	12160
2014061212	003	058	21	4088
2014061212	094	059	17	2601
2014061212	094	059	16	2595
2014061212	094	022	162	11486
2014061212	058	059	28	4837
2014061212	059	003	100	11226
2014061212	059	003	95	10702
2014061212	037	001	153	169
2014061213	020	033	213	14718
2014061213	001	009	118	2611
2014061213	020	033	202	14802
2014061213	059	058	22	4096
2014061213	058	052	19	2460
2014061213	059	059	241	19000
2014061213	059	022	340	19631
2014061213	094	056	10	1792
2014061213	026	026	20	1598
2014061213	026	026	18	1600
2014061214	020	020	9	263
2014061214	001	059	31	5260
2014061214	001	059	30	5184
2014061214	025	009	52	4972
2014061214	025	009	47	5064
2014061214	056	059	28	5002
2014061214	003	003	270	22974
2014061214	003	052	115	10263
2014061214	025	010	27	173
2014061214	013	013	7	304
2014061214	094	052	83	11273
2014061214	094	052	83	11065
2014061214	025	058	206	17301
2014061214	010	010	22	2885
2014061214	013	010	23	904
2014061214	094	059	56	6221
2014061214	058	058	69	4894
2014061214	094	059	56	6513
2014061214	052	059	28	6346
2014061214	020	013	73	12037
2014061214	059	094	23	2619
2014061214	013	010	14	943
2014061214	026	052	97	13671
2014061214	026	052	96	13726
2014061214	025	058	188	17207
2014061214	026	022	269	12531
2014061214	026	022	267	12678
2014061215	009	059	49	5731
2014061215	009	059	46	5603
2014061215	052	052	58	11465
2014061215	058	059	26	1811
2014061215	059	052	13	2301
2014061215	003	001	104	10242
2014061215	010	020	264	5858
2014061215	003	001	101	10150
2014061215	010	020	262	5795
2014061215	059	059	37	196
2014061215	022	020	27	3185
2014061215	052	033	23	3683
2014061215	009	003	201	13109
2014061215	059	059	20	1494
2014061215	025	059	130	15580
2014061215	025	059	130	16005
2014061215	052	059	21	2344
2014061215	001	052	17	1837
2014061215	025	059	128	15635
2014061215	026	026	12	810
2014061215	052	059	21	2284
2014061215	013	033	90	6405
2014061215	010	003	192	12593
2014061215	022	022	45	4894
2014061215	033	052	52	7198
2014061215	033	052	51	7214
2014061215	010	001	27	2158
2014061215	010	001	28	2133
2014061215	020	052	47	6889
2014061215	056	003	193	28732
2014061215	052	033	8902	3836
2014061215	059	094	145	9446
2014061215	059	094	105	9483
2014061215	059	059	50	9013
2014061215	059	059	49	7498
2014061215	052	003	21	2380
2014061216	059	058	20	3628
2014061216	033	033	69	6330
2014061216	052	003	153	12962
2014061216	059	052	27	3689
2014061216	059	052	26	3706
2014061216	026	026	20	2280
2014061216	059	022	185	8586
2014061216	026	026	46	102
2014061216	052	056	18	1870
2014061216	001	094	23	1721
2014061216	001	094	23	1623
2014061217	056	052	8	1472
2014061217	026	052	76	7994
2014061217	033	020	124	6744
2014061218	094	001	23	1596
2014061218	094	001	22	1529
2014061218	022	022	58	1517
2014061218	052	058	22	1774
2014061218	052	058	17	1809
2014061218	026	013	13	743
2014061218	001	003	7	618
2014061218	001	003	6	616
2014061218	058	025	36	1268
2014061218	058	025	35	1229
2014061218	033	052	20	4496
2014061218	033	033	4	93
2014061219	052	058	24	4112
2014061219	052	058	8	1747
2014061219	003	020	284	6626
2014061219	009	094	41	5586
2014061219	013	026	235	32298
2014061219	022	022	25	1921
2014061219	033	033	31	2950
2014061219	009	094	36	5572
2014061219	033	052	108	11037
2014061219	058	056	11	1517
2014061219	094	052	6	294
2014061219	094	056	46	2166
2014061219	094	059	25	2638
2014061219	033	052	99	10832
2014061219	033	059	90	11894
2014061219	001	094	108	12225
2014061219	052	059	16	2315
2014061219	013	009	19	2154
2014061219	001	094	102	12633
2014061219	058	003	21	4143
