dt	state	description_ru	description_en	temp
20140609	rain	пасм., дождь	cloudy, rain	19
20140610		пасмурно	cloudy	16
20140611		пасмурно	cloudy	19
20140612		облачно	cloudy	21
20140613		пасмурно	cloudy	15
20140614		пасмурно	cloudy	19
20140615		пасмурно	cloudy	13
20140616		облачно	cloudy	14
20140617		облачно	cloudy	16
20140618		пасмурно	cloudy	11
20140619		пасмурно	cloudy	17
20140620		облачно	cloudy	21
20140621	rain	пасм., дождь	cloudy, rain	20
20140622		облачно	cloudy	17
20140623	rain	пасм., дождь	cloudy, rain	12
20140624	rain	пасм., дождь	cloudy, rain	14
20140625	rain	пасм., дождь	cloudy, rain	17
20140626	rain	пасм., дождь	cloudy, rain	15
20140627	rain	пасм., дождь	cloudy, rain	14
20140628	rain	пасм., дождь	cloudy, rain	9
20140629		ясно	clear	18
20140630		ясно	clear	25
20140701		ясно	clear	26.5
20140702		ясно	clear	22
20140703		ясно	clear	19
20140704		ясно	clear	20
20140705		ясно	clear	21.5
20140706		ясно	clear	23
20140707		ясно	clear	23.5
20140708		ясно	clear	24
20140709		ясно	clear	23
20140710		пасмурно	cloudy	14
20140711		пасмурно	cloudy	15
20140712		ясно	clear	23
20140713		ясно	clear	25.5
20140714		ясно	clear	27
20140715		ясно	clear	27
20140716		малооблачно	partly cloudy	27
20140717		малооблачно	partly cloudy	24.5
20140718		малооблачно	partly cloudy	23
20140719	shortrain	ясно, кратк. Дождь	clear, light rain	23
20140720		ясно	clear	23.5
20140721		ясно	clear	22
20140722		ясно	clear	21
20140723		ясно	clear	23.5
20140724		ясно	clear	23.5
20140725		ясно	clear	22.5
20140726		ясно	clear	23
20140727		ясно	clear	25
20140728		ясно	clear	28
20140729		ясно	clear	28
20140730		ясно	clear	29
20140731		ясно	clear	28.5
20140801		ясно	clear	28.5
20140802		ясно	clear	27.5
20140803		ясно	clear	27
20140804		ясно	clear	26
20140805		ясно	clear	27
20140806		малооблачно	partly cloudy	26.5
20140807	shortrain	ясно, кратк. Дождь	clear, light rain	21
20140808	shortrain	ясно, кратк. Дождь	clear, light rain	21
20140809		ясно	clear	24
20140810		ясно	clear	25
20140811		ясно	clear	24
20140812		ясно	clear	27.5
20140813	rain	облачно, дождь	cloudy, rain	18.5
20140814	rain	облачно, дождь	cloudy, rain	23.5
20140815		пасмурно	cloudy	21.5
20140816		пасмурно	cloudy	18.5
20140817		пасмурно	cloudy	17.5
20140818		ясно	clear	17
20140819		пасмурно	cloudy	20
20140820		ясно	clear	22
20140821		ясно	clear	21.5
20140822		ясно	clear	19
20140823		пасмурно	cloudy	16
20140824		облачно	cloudy	19.5
20140825	rain	пасм., дождь	cloudy, rain	17
20140826		пасмурно	cloudy	15
20140827	rain	пасм., дождь	cloudy, rain	11.5
20140828		пасмурно	cloudy	16
20140829	rain	пасм., дождь	cloudy, rain	13.5
20140830	rain	пасм., дождь	cloudy, rain	13.5
20140831		облачно	cloudy	13
20140901	rain	пасм., дождь	cloudy, rain	15
20140902	rain	пасм., дождь	cloudy, rain	15.5
20140903	rain	облачно, дождь	cloudy, rain	15
20140904		облачно	cloudy	15.5
20140905		ясно	clear	17
20140906		ясно	clear	17.5
20140907		ясно	clear	16
20140908		ясно	clear	19.5
20140909		ясно	clear	17.5
20140910		ясно	clear	17.5
20140911		ясно	clear	19.5
20140912		облачно	cloudy	19
20140913		облачно	cloudy	19.5
20140914	rain	пасм., дождь	cloudy, rain	9.5
20140915		пасмурно	cloudy	12.5
20140916		ясно	clear	12.5
20140917		облачно	cloudy	10.5
20140918		ясно	clear	10
20140919		ясно	clear	16
20140920		ясно	clear	14.5
20140921		ясно	clear	14
20140922		ясно	clear	16
20140923		ясно	clear	17.5
20140924	rain	пасм., дождь	cloudy, rain	7.5
20140925	rain	пасм., дождь	cloudy, rain	7.5
20140926		ясно	clear	11
20140927		ясно	clear	13
20140928		ясно	clear	13
20140929		пасмурно	cloudy	13
20140930		пасмурно	cloudy	10
20141001		пасмурно	cloudy	5
20141002		ясно	clear	7
20141003		пасмурно	cloudy	9.5
20141004	rain	пасм., дождь	cloudy, rain	6.5
20141005	rain	пасм., дождь	cloudy, rain	5
20141006		пасмурно	cloudy	5.5
20141007		пасмурно	cloudy	3.5
20141008		ясно	clear	6.5
20141009		ясно	clear	9.5
20141010		пасмурно	cloudy	15
20141011		ясно	clear	14.5
20141012	rain	дождь	rain	12
20141013		пасмурно	cloudy	15
20141014		пасмурно	cloudy	10.5
20141015		пасмурно	cloudy	8
20141016	rain	дождь	rain	2
20141017	rain	первый снег!	first snow (Welcome to Russia!)	0
20141018		пасмурно	cloudy	-2.5
20141019		ясно	clear	2
20141020	rain	дождь	rain	2
20141021	rain	дождь	rain	0
20141022		пасмурно	cloudy	-6.5
20141023		пасмурно	cloudy	-7
20141024		ясно	clear	-3.5
20141025		ясно	clear	-2.5
20141026		ясно	clear	1
20141027		ясно	clear	2
20141028		ясно	clear	8.5
20141029		ясно	clear	9.5
20141030		ясно	clear	4.5
20141031		ясно	clear	2.5
20141101		пасмурно	cloudy	2
20141102		пасмурно	cloudy	0
20141103	rain	пасмурно	cloudy	0
20141104		ясно	clear	4
20141105		пасмурно	cloudy	4
20141106		пасмурно	cloudy	6
20141107	rain	дождь	cloudy	6
20141108		пасмурно	cloudy	9
20141109		пасмурно	cloudy	6
20141110		пасмурно	cloudy	6
20141111		пасмурно	cloudy	5
